unit,yr,quarter,cum_tests_orig,new_tests_orig,new_cases_orig,new_deaths_orig
GBR,2020,3,1221569977,16059569,170634,1754
GBR,2020,4,3376809651,29706042,2040340,31388
GBR,2021,1,7394062251,70524575,1863792,53334
GBR,2021,2,15174056475,85194697,464415,1449
GBR,2021,3,23415377481,90394607,3026610,8641
GBR,2021,4,31865545081,102660010,5166998,12051
GBR,2022,1,41091925838,94436064,8298916,16881
GBR,2022,2,6505643506,6633828,536346,5027
GEO,2020,1,30769,2243,110,0
GEO,2020,2,3827730,109081,818,15
GEO,2020,3,29964161,532120,5264,24
GEO,2020,4,93456376,575242,221228,2466
GEO,2021,1,128343548,791889,54341,1273
GEO,2021,2,226120099,858184,84317,1538
GEO,2021,3,263925828,0,246934,3630
GEO,2021,4,263925828,0,321729,4854
GEO,2022,1,258188310,0,713523,2945
GEO,2022,2,37293867,0,3705,34
GHA,2020,1,8170,863,161,5
GHA,2020,2,12825702,294004,17580,107
GHA,2020,3,37277692,185064,28885,189
GHA,2020,4,51798222,166756,8145,34
GHA,2021,1,73540122,339662,35812,408
GHA,2021,2,102144609,265724,5331,53
GHA,2021,3,139159656,501161,31568,360
GHA,2021,4,176521725,351918,15504,139
GHA,2022,1,204573169,314700,17985,150
GHA,2022,2,31508576,8384,100,0
GIN,2020,1,0,0,22,0
GIN,2020,2,943753,33737,5369,33
GIN,2020,3,5690046,49767,5261,33
GIN,2020,4,19611858,218085,3070,15
GIN,2021,1,30524962,103032,6186,44
GIN,2021,2,40544722,68061,3862,46
GIN,2021,3,47928888,97811,6641,208
GIN,2021,4,53749192,24541,1640,12
GIN,2022,1,56461269,73937,4408,49
GIN,2022,2,8696623,0,0,0
GMB,2020,1,600,102,4,1
GMB,2020,2,111734,2845,45,1
GMB,2020,3,882236,14652,3630,110
GMB,2020,4,1976008,11500,218,12
GMB,2021,1,3658286,26143,1662,41
GMB,2021,2,6035776,20663,620,16
GMB,2021,3,8740843,33687,3855,157
GMB,2021,4,11039110,21191,236,5
GMB,2022,1,12895277,24903,1818,22
GMB,2022,2,2023918,0,2,0
GNB,2020,1,0,0,8,0
GNB,2020,2,284747,8056,1646,24
GNB,2020,3,1028986,10380,670,15
GNB,2020,4,2236926,17208,128,6
GNB,2021,1,4207746,22834,1198,18
GNB,2021,2,5981000,13854,209,6
GNB,2021,3,7889523,25240,2248,66
GNB,2021,4,9619762,13320,377,14
GNB,2022,1,10838378,17984,1665,21
GNB,2022,2,1691675,2241,26,0
GNQ,2020,1,0,0,12,0
GNQ,2020,2,442438,16000,1989,32
GNQ,2020,3,3782736,43706,3029,51
GNQ,2020,4,6082216,15498,247,3
GNQ,2021,1,8170196,35001,1637,16
GNQ,2021,2,11956621,45898,1820,19
GNQ,2021,3,17089749,65325,3628,26
GNQ,2021,4,22842490,45377,1348,28
GNQ,2022,1,25482562,34398,2290,8
GNQ,2022,2,3935097,2162,1,0
GRC,2020,1,138484,16732,1156,38
GRC,2020,2,12758564,296043,2253,154
GRC,2020,3,67310440,994774,15066,199
GRC,2020,4,190010672,1397025,120375,4447
GRC,2021,1,383598357,3831172,124839,3255
GRC,2021,2,798164096,4096873,158767,4613
GRC,2021,3,1325409671,9506154,233311,2122
GRC,2021,4,2947511346,27110172,555086,5962
GRC,2022,1,5527045413,26805505,1819576,6720
GRC,2022,2,985379707,3107576,165458,764
GRD,2020,1,272,18,9,0
GRD,2020,2,217634,5447,14,0
GRD,2020,3,502780,0,1,0
GRD,2020,4,502780,0,103,0
GRD,2021,1,1454714,18524,28,1
GRD,2021,2,2471996,4695,6,0
GRD,2021,3,3625976,27418,5034,140
GRD,2021,4,6051124,37833,986,59
GRD,2022,1,10571576,27014,7848,18
GRD,2022,2,1572337,0,52,1
GRL,2020,1,2919,402,0,0
GRL,2020,2,159179,3154,0,0
GRL,2020,3,568597,4486,0,0
GRL,2020,4,1090557,5829,0,0
GRL,2021,1,1620320,7015,0,0
GRL,2021,2,2184937,8976,0,0
GRL,2021,3,3960784,26485,0,0
GRL,2021,4,5183924,0,0,0
GRL,2022,1,5071230,0,0,0
GRL,2022,2,732511,0,0,0
GTM,2020,1,2912,208,38,1
GTM,2020,2,18928,0,18058,772
GTM,2020,3,6879869,323461,73650,2473
GTM,2020,4,43950138,263035,46266,1567
GTM,2021,1,75621670,476269,55822,2030
GTM,2021,2,120632391,534854,99749,2375
GTM,2021,3,185853394,973520,266732,4349
GTM,2021,4,274501680,725250,68044,2543
GTM,2022,1,334560613,939783,200515,1205
GTM,2022,2,55159949,24191,7360,88
GUY,2020,1,0,0,27,2
GUY,2020,2,75528,2578,233,10
GUY,2020,3,411291,11410,2649,68
GUY,2020,4,1772183,22308,3438,84
GUY,2021,1,3954639,11661,3917,67
GUY,2021,2,11268159,137690,9806,238
GUY,2021,3,17375028,3212,11772,317
GUY,2021,4,18758000,230756,7746,268
GUY,2022,1,37765350,0,23680,172
GUY,2022,2,5454995,0,87,0
HKG,2020,1,407720,90000,0,0
HKG,2020,2,17700281,257400,0,0
HKG,2020,3,63134984,681905,0,0
HKG,2020,4,302274772,3914362,0,0
HKG,2021,1,670476997,4974494,0,0
HKG,2021,2,1188095931,4923160,0,0
HKG,2021,3,2049533240,10393836,0,0
HKG,2021,4,2530686580,4060929,0,0
HKG,2022,1,3058312233,15676866,0,0
HKG,2022,2,584648376,0,0,0
HND,2020,1,0,0,141,7
HND,2020,2,1067748,46554,19437,490
HND,2020,3,6854748,133417,57342,1856
HND,2020,4,22261627,114982,44927,777
HND,2021,1,36760902,223511,67216,1475
HND,2021,2,59526339,245145,73717,2400
HND,2021,3,84966187,273649,103234,2772
HND,2021,4,96392976,96524,13408,657
HND,2022,1,102040380,0,41660,540
HND,2022,2,14739166,0,206,8
HRV,2020,1,53117,7015,867,6
HRV,2020,2,4385411,72089,1910,101
HRV,2020,3,14427839,227980,13816,173
HRV,2020,4,58601251,687209,194244,3640
HRV,2021,1,112947647,544939,60795,2027
HRV,2021,2,170500684,604368,88240,2259
HRV,2021,3,224209886,628455,44918,434
HRV,2021,4,301397873,971479,310455,3898
HRV,2022,1,385202658,939676,383931,3025
HRV,2022,2,61231681,43893,10671,139
HTI,2020,1,0,0,15,0
HTI,2020,2,0,0,5832,105
HTI,2020,3,0,0,2893,123
HTI,2020,4,0,0,1259,9
HTI,2021,1,0,0,2759,18
HTI,2021,2,0,0,5804,175
HTI,2021,3,0,0,3085,185
HTI,2021,4,0,0,4338,156
HTI,2022,1,0,0,4562,139
HTI,2022,2,0,0,39,2
HUN,2020,1,108839,14146,492,16
HUN,2020,2,12313806,260799,3663,569
HUN,2020,3,38205947,440732,22306,180
HUN,2020,4,140243333,1894913,296053,8772
HUN,2021,1,312503878,1998562,329919,11200
HUN,2021,2,505287757,1521143,155695,9255
HUN,2021,3,595444635,802484,14577,198
HUN,2021,4,733186857,2236576,433710,8996
HUN,2022,1,928376454,1946327,595456,6284
HUN,2022,2,145272299,117680,22335,342
IDN,2020,1,50772,6663,1528,136
IDN,2020,2,15641829,470655,54857,2740
IDN,2020,3,102669968,1516376,230623,7864
IDN,2020,4,297375128,1913579,456190,11398
IDN,2021,1,351654570,0,768514,18720
IDN,2021,2,1114968480,15995804,666560,17633
IDN,2021,3,2690540242,19218408,2036832,83448
IDN,2021,4,4688710956,24045058,47616,2155
IDN,2022,1,7043287832,28794412,1750098,10995
IDN,2022,2,1205891553,1632600,22540,628
IND,2020,1,399400,42788,1397,36
IND,2020,2,258095872,8565866,584084,17365
IND,2020,3,3088945541,65588075,5727103,81278
IND,2020,4,11459287102,93905928,3974125,50316
IND,2021,1,18604435146,75570283,1934956,13933
IND,2021,2,29142111574,166427104,18189969,236532
IND,2021,3,45370502907,158856395,3355073,48880
IND,2021,4,57498741711,108921816,1094872,33147
IND,2022,1,66993428885,111286667,8164196,39695
IND,2022,2,10301836273,5789603,12241,555
IRL,2020,1,229102,30213,3235,71
IRL,2020,2,21433752,374776,22238,1669
IRL,2020,3,68721918,775995,10682,73
IRL,2020,4,164348089,1126039,55624,440
IRL,2021,1,294183293,1683884,144075,2450
IRL,2021,2,414484719,723505,36077,314
IRL,2021,3,529103294,2731971,120907,251
IRL,2021,4,790804809,2561468,398627,663
IRL,2022,1,1000340587,1795559,676398,841
IRL,2022,2,154587570,134705,35389,150
IRN,2020,1,1440000,80000,44605,2898
IRN,2020,2,68035717,1559078,183057,7919
IRN,2020,3,256596337,2375743,229557,15352
IRN,2020,4,510745052,3082735,767923,29054
IRN,2021,1,894840621,4853683,660422,7442
IRN,2021,2,1615911883,11791151,1318993,21599
IRN,2021,3,2534989300,7909658,2382483,36164
IRN,2021,4,3404983156,10342406,607361,11178
IRN,2022,1,4091079813,7471166,967819,8598
IRN,2022,2,647546598,836723,35285,474
IRQ,2020,1,0,0,694,50
IRQ,2020,2,0,0,48415,1893
IRQ,2020,3,110017822,2266355,313872,7238
IRQ,2020,4,295723877,1955061,232310,3632
IRQ,2021,1,557803226,3769823,255633,1510
IRQ,2021,2,892001501,3278373,494980,2863
IRQ,2021,3,1151198564,1906571,657399,5074
IRQ,2021,4,1475232158,3523100,90437,1898
IRQ,2022,1,1586879944,1637197,225810,1006
IRQ,2022,2,238766926,37075,2753,22
ISL,2020,1,97557,9051,1135,8
ISL,2020,2,1821668,28956,689,8
ISL,2020,3,11909126,184179,904,0
ISL,2020,4,28284204,149963,3026,19
ISL,2021,1,38064287,104725,452,0
ISL,2021,2,51956144,228357,444,1
ISL,2021,3,77778052,281416,5152,3
ISL,2021,4,103860914,318866,15258,4
ISL,2022,1,144680254,577860,154332,65
ISL,2022,2,24582570,14588,2583,9
ISR,2020,1,612699,74454,5745,21
ISR,2020,2,44489632,884695,19721,306
ISR,2020,3,101369694,147658,221973,1277
ISR,2020,4,201150680,6281783,175851,1721
ISR,2021,1,904851216,4600379,409843,2888
ISR,2021,2,1212663123,2463587,8725,223
ISR,2021,3,1782502324,11685900,440441,1333
ISR,2021,4,2848004515,10134637,102863,482
ISR,2022,1,3910110096,8280598,2534293,2242
ISR,2022,2,579197983,0,94968,116
ITA,2020,1,5788444,506968,105792,12428
ITA,2020,2,267069293,4883142,134934,22370
ITA,2020,3,726768999,5943812,74283,1127
ITA,2020,4,1740247156,14712215,1792305,38265
ITA,2021,1,3317487597,23582257,1477733,35187
ITA,2021,2,5646144367,21680549,675010,18220
ITA,2021,3,7464282948,20882436,412446,3355
ITA,2021,4,10379905385,47671964,1453328,6481
ITA,2022,1,15907403885,60770489,8516671,21981
ITA,2022,2,2662715853,6667629,762455,1649
JAM,2020,1,1250,250,36,1
JAM,2020,2,761150,24251,666,9
JAM,2020,3,4410385,54471,5780,97
JAM,2020,4,9666252,54275,6345,195
JAM,2021,1,17400821,128710,26410,294
JAM,2021,2,32314259,180121,10887,479
JAM,2021,3,47236730,149879,33613,794
JAM,2021,4,55110504,108410,10183,604
JAM,2022,1,63033030,0,34837,415
JAM,2022,2,9104771,0,336,29
JOR,2020,1,0,0,274,5
JOR,2020,2,10739572,385638,858,4
JOR,2020,3,67401460,835184,10803,52
JOR,2020,4,192060418,1305170,282669,3773
JOR,2021,1,377829658,3392166,317083,3024
JOR,2021,2,627523271,1488895,139827,2892
JOR,2021,3,681448876,0,72515,968
JOR,2021,4,851756102,6009606,239486,1935
JOR,2022,1,1207499310,0,629080,1378
JOR,2022,2,174416567,0,2472,24
JPN,2020,1,945745,59705,2253,67
JPN,2020,2,33798313,625097,16350,907
JPN,2020,3,134767229,1744828,64974,601
JPN,2020,4,325162970,2201915,152170,1917
JPN,2021,1,694482724,5529576,239337,5684
JPN,2021,2,1141146412,6062411,324497,5607
JPN,2021,3,1780650364,7558857,905489,2866
JPN,2021,4,2382782673,4400934,27224,740
JPN,2022,1,3060270322,13955559,4823289,9731
JPN,2022,2,551965259,1616253,566588,649
KAZ,2020,1,101860,5093,343,2
KAZ,2020,2,53336075,1512005,21965,186
KAZ,2020,3,205123593,1378707,118399,1887
KAZ,2020,4,366297927,1975947,60489,674
KAZ,2021,1,608751074,3424293,96276,3163
KAZ,2021,2,960127628,2979973,185214,1847
KAZ,2021,3,1064901104,0,539531,8429
KAZ,2021,4,1064901104,0,109676,2304
KAZ,2022,1,1041751080,0,321284,800
KAZ,2022,2,150475156,0,291,2
KEN,2020,1,4597,844,59,1
KEN,2020,2,5229725,166573,6307,147
KEN,2020,3,33936357,380529,32163,563
KEN,2020,4,72647280,481802,57929,959
KEN,2021,1,109490661,450492,37600,483
KEN,2021,2,157874989,459826,50103,1481
KEN,2021,3,206920212,616156,65273,1489
KEN,2021,4,254628941,452963,45594,255
KEN,2022,1,295838848,502429,28395,270
KEN,2022,2,45957588,40353,160,1
KGZ,2020,1,35996,8186,107,0
KGZ,2020,2,4661006,57964,5399,61
KGZ,2020,3,6085800,0,41163,1446
KGZ,2020,4,32344857,502935,34365,291
KGZ,2021,1,53915854,127522,7504,145
KGZ,2021,2,82130653,2355986,36465,500
KGZ,2021,3,280728892,0,53529,607
KGZ,2021,4,280728892,0,6157,195
KGZ,2022,1,274626090,0,16246,186
KGZ,2022,2,39668213,0,35,3
KHM,2020,1,34072,5768,109,0
KHM,2020,2,524888,0,32,0
KHM,2020,3,530656,0,136,0
KHM,2020,4,530656,0,101,0
KHM,2021,1,37240563,676417,2062,11
KHM,2021,2,92258836,676069,47945,591
KHM,2021,3,178422229,996461,62266,1717
KHM,2021,4,242480389,406770,7842,693
KHM,2022,1,254885834,166633,15132,42
KHM,2022,2,38150307,10943,355,1
KIR,2020,1,0,0,0,0
KIR,2020,2,0,0,0,0
KIR,2020,3,0,0,0,0
KIR,2020,4,0,0,0,0
KIR,2021,1,0,0,0,0
KIR,2021,2,0,0,2,0
KIR,2021,3,0,0,0,0
KIR,2021,4,0,0,0,0
KIR,2022,1,0,0,3068,13
KIR,2022,2,0,0,3,0
KNA,2020,1,0,0,8,0
KNA,2020,2,17204,391,7,0
KNA,2020,3,35972,0,4,0
KNA,2020,4,35972,0,13,0
KNA,2021,1,346750,11990,12,0
KNA,2021,2,1375606,8937,402,3
KNA,2021,3,2657221,15284,1472,10
KNA,2021,4,3367384,0,1081,15
KNA,2022,1,3605717,31290,2550,15
KNA,2022,2,889329,1011,5,0
KOR,2020,1,8782490,410564,9785,162
KOR,2020,2,72290742,863202,3064,120
KOR,2020,3,162321522,1049233,11039,133
KOR,2020,4,270564440,1683413,37880,502
KOR,2021,1,547189346,3701388,41870,818
KOR,2021,2,842801385,2813129,54084,286
KOR,2021,3,1143332962,4023329,156050,476
KOR,2021,4,1434533515,1259807,321480,3128
KOR,2022,1,1422365850,0,12740565,10965
KOR,2022,2,205452845,0,2454826,3444
KWT,2020,1,0,0,289,0
KWT,2020,2,0,0,45906,354
KWT,2020,3,0,0,58987,256
KWT,2020,4,0,0,45402,324
KWT,2021,1,135393023,2047293,81519,379
KWT,2021,2,224593907,929243,124584,656
KWT,2021,3,331014868,1166585,54968,480
KWT,2021,4,467186400,1778065,5480,19
KWT,2022,1,628891046,1842127,211843,86
KWT,2022,2,100923069,0,1663,1
LAO,2020,1,1325,53,9,0
LAO,2020,2,4823,0,10,0
LAO,2020,3,4876,0,4,0
LAO,2020,4,2089634,89368,18,0
LAO,2021,1,9833700,43673,8,0
LAO,2021,2,19259048,163240,2072,3
LAO,2021,3,28041769,8679,21725,15
LAO,2021,4,28061196,0,87214,354
LAO,2022,1,27451170,0,65838,294
LAO,2022,2,3965169,0,20519,37
LBN,2020,1,0,0,470,12
LBN,2020,2,4203702,132639,1308,22
LBN,2020,3,39199401,704957,37856,333
LBN,2020,4,128356705,940668,141869,1101
LBN,2021,1,251858959,1782613,286897,4766
LBN,2021,2,381217200,1170499,76466,1617
LBN,2021,3,435286592,0,79364,474
LBN,2021,4,435286592,0,103700,794
LBN,2022,1,425823840,0,364227,1184
LBN,2022,2,61507888,0,2754,47
LBR,2020,1,0,0,6,0
LBR,2020,2,135386,6125,767,36
LBR,2020,3,1090891,11749,569,46
LBR,2020,4,4360324,33871,461,1
LBR,2021,1,5924269,27939,253,2
LBR,2021,2,9010041,36665,1847,42
LBR,2021,3,11738155,23475,2022,159
LBR,2021,4,12863808,0,479,1
LBR,2022,1,12584160,0,1122,7
LBR,2022,2,1817712,0,2,0
LBY,2020,1,0,0,10,0
LBY,2020,2,525859,26339,814,24
LBY,2020,3,8135081,155714,33701,530
LBY,2020,4,33299081,337797,65752,927
LBY,2021,1,61155882,328338,58680,1189
LBY,2021,2,89452772,247283,34517,526
LBY,2021,3,126789030,547918,146610,1458
LBY,2021,4,167220951,353984,48650,1059
LBY,2022,1,205830468,554818,112971,705
LBY,2022,2,33180328,1845,129,14
LCA,2020,1,222,222,13,0
LCA,2020,2,50496,982,6,0
LCA,2020,3,425752,6973,8,0
LCA,2020,4,1253207,10976,326,5
LCA,2021,1,2498886,16695,3885,55
LCA,2021,2,4002825,17364,1058,24
LCA,2021,3,5986624,26745,6163,117
LCA,2021,4,8516572,28125,2111,94
LCA,2022,1,11605877,32507,9383,70
LCA,2022,2,1830960,743,92,0
LIE,2020,1,0,0,69,0
LIE,2020,2,0,0,18,1
LIE,2020,3,0,0,37,0
LIE,2020,4,0,0,2101,43
LIE,2021,1,0,0,532,12
LIE,2021,2,0,0,378,2
LIE,2021,3,0,0,426,0
LIE,2021,4,0,0,2574,11
LIE,2022,1,0,0,10247,15
LIE,2022,2,0,0,456,0
LKA,2020,1,6246,2082,143,2
LKA,2020,2,189462,0,1904,9
LKA,2020,3,6492768,285782,1333,2
LKA,2020,4,63679178,904264,39919,191
LKA,2021,1,166115973,1251814,49407,364
LKA,2021,2,290740024,1713415,166383,2509
LKA,2021,3,460619820,1612742,258288,9829
LKA,2021,4,573767250,944711,69868,2073
LKA,2022,1,650895691,860668,74386,1498
LKA,2022,2,98817095,43360,1086,15
LSO,2020,1,0,0,0,0
LSO,2020,2,57821,3000,27,0
LSO,2020,3,1036017,15809,1568,36
LSO,2020,4,2010826,11677,1499,15
LSO,2021,1,4531820,36918,7612,264
LSO,2021,2,7919969,41856,638,14
LSO,2021,3,13571452,104744,3051,74
LSO,2021,4,23289074,108577,14013,262
LSO,2022,1,34912898,107910,4502,32
LSO,2022,2,5640244,4783,58,0
LTU,2020,1,64420,11280,468,4
LTU,2020,2,19506878,411560,1344,57
LTU,2020,3,53604952,352147,2876,16
LTU,2020,4,106667486,807063,137267,1719
LTU,2021,1,180210216,793292,74164,1778
LTU,2021,2,287637188,1520695,62650,809
LTU,2021,3,397544685,646862,52914,610
LTU,2021,4,507185804,2358305,187914,2394
LTU,2022,1,673641716,1563537,505242,1516
LTU,2022,2,110727463,95473,18653,106
LUX,2020,1,33710,17511,2178,23
LUX,2020,2,6480207,167811,2121,89
LUX,2020,3,48485246,651857,5558,14
LUX,2020,4,111837715,748356,37906,371
LUX,2021,1,180187645,788942,15227,251
LUX,2021,2,249176360,681033,9145,72
LUX,2021,3,284814796,15621,7432,17
LUX,2021,4,331715483,718061,25547,80
LUX,2022,1,358929441,351556,112065,121
LUX,2022,2,54318029,16224,10508,15
LVA,2020,1,120841,14807,398,0
LVA,2020,2,7540717,136030,720,30
LVA,2020,3,20956267,169181,706,7
LVA,2020,4,51290063,516987,39080,598
LVA,2021,1,117845497,1002587,61459,1264
LVA,2021,2,218493210,1015431,35066,614
LVA,2021,3,310605991,1476748,20862,204
LVA,2021,4,465359779,1224718,118383,1853
LVA,2022,1,570403702,1447652,522221,1046
LVA,2022,2,91479719,59001,11022,71
MAR,2020,1,14951,2900,617,36
MAR,2020,2,16284269,635571,11916,192
MAR,2020,3,145339309,1960015,111120,1966
MAR,2020,4,327880446,1785935,315540,5194
MAR,2021,1,448064135,1075665,56904,1430
MAR,2021,2,534170651,783174,35264,478
MAR,2021,3,691725056,2515411,401710,4971
MAR,2021,4,856394658,1087457,30021,582
MAR,2022,1,965249924,1415653,200182,1211
MAR,2022,2,146979228,79924,861,1
MCO,2020,1,0,0,52,1
MCO,2020,2,0,0,51,3
MCO,2020,3,0,0,127,1
MCO,2020,4,0,0,657,1
MCO,2021,1,0,0,1413,25
MCO,2021,2,0,0,289,5
MCO,2021,3,0,0,737,0
MCO,2021,4,0,0,1671,5
MCO,2022,1,0,0,5773,16
MCO,2022,2,0,0,503,2
MDA,2020,1,0,0,353,4
MDA,2020,2,0,0,16260,541
MDA,2020,3,0,0,36429,775
MDA,2020,4,5384475,532838,91776,1665
MDA,2021,1,60701572,314664,85423,1975
MDA,2021,2,94999813,331029,26493,1234
MDA,2021,3,108424852,0,37658,583
MDA,2021,4,108424852,0,81763,3498
MDA,2022,1,106067790,0,137287,1156
MDA,2022,2,15320903,0,2207,40
MDG,2020,1,0,0,57,0
MDG,2020,2,660373,21444,2164,20
MDG,2020,3,4763793,57517,14194,210
MDG,2020,4,8352727,19408,1306,31
MDG,2021,1,10188706,42988,6712,157
MDG,2021,2,16907451,71351,17790,495
MDG,2021,3,21597439,36802,682,45
MDG,2021,4,24351419,71374,7381,69
MDG,2022,1,33529043,83959,13730,357
MDG,2022,2,5262959,0,80,6
MDV,2020,1,0,0,18,0
MDV,2020,2,0,0,2343,9
MDV,2020,3,0,0,7930,25
MDV,2020,4,0,0,3466,14
MDV,2021,1,38247397,650537,10322,19
MDV,2021,2,73994164,317737,49719,143
MDV,2021,3,116090788,519778,11011,21
MDV,2021,4,149980737,184339,10891,31
MDV,2022,1,150515190,0,81300,36
MDV,2022,2,21741083,0,1320,0
MEX,2020,1,74591,11008,1215,29
MEX,2020,2,19112457,555594,224874,27740
MEX,2020,3,105837481,1124229,517127,49877
MEX,2020,4,240094902,1695364,682878,48161
MEX,2021,1,444197762,2678713,812793,77403
MEX,2021,2,619874196,1418871,280382,29837
MEX,2021,3,833771129,3156981,1144954,44460
MEX,2021,4,1064815716,1717627,315500,21921
MEX,2022,1,1293675288,3198823,1679812,23588
MEX,2022,2,203208894,126405,64327,789
MKD,2020,1,3518,3518,329,9
MKD,2020,2,2126832,57255,6005,293
MKD,2020,3,10166124,124935,11643,437
MKD,2020,4,25056320,195159,65352,1764
MKD,2021,1,43941391,243777,46693,1278
MKD,2021,2,68608850,247639,25662,1703
MKD,2021,3,97212542,385239,35724,1184
MKD,2021,4,125844163,254362,33641,1292
MKD,2022,1,153670131,340076,80930,1261
MKD,2022,2,24075480,0,1988,35
MLI,2020,1,0,0,28,2
MLI,2020,2,365055,12869,2153,114
MLI,2020,3,2592099,30455,937,15
MLI,2020,4,8066368,92988,3972,138
MLI,2021,1,16605428,96835,2952,116
MLI,2021,2,25554911,81890,4384,140
MLI,2021,3,33734151,107846,793,23
MLI,2021,4,43882451,111161,5789,112
MLI,2022,1,54966216,123200,9476,67
MLI,2022,2,8618457,10157,105,2
MLT,2020,1,47869,4462,169,0
MLT,2020,2,4580675,90669,501,9
MLT,2020,3,14940526,158852,2430,26
MLT,2020,4,34789862,215870,9716,186
MLT,2021,1,58687406,339487,16259,173
MLT,2021,2,81700112,176289,1590,28
MLT,2021,3,103785300,225827,6526,37
MLT,2021,4,111453952,0,15324,19
MLT,2022,1,109031040,0,27066,162
MLT,2022,2,15748928,0,7494,29
MMR,2020,1,3246,300,15,1
MMR,2020,2,2091019,76015,284,5
MMR,2020,3,13250688,219726,13074,304
MMR,2020,4,86947410,1343116,111257,2372
MMR,2021,1,210398164,899087,17804,525
MMR,2021,2,236137543,100894,14843,128
MMR,2021,3,315344060,1567527,306799,14401
MMR,2021,4,477773246,1730724,66758,1533
MMR,2022,1,605619493,1719148,80753,162
MMR,2022,2,100652962,141897,819,4
MNE,2020,1,0,0,109,2
MNE,2020,2,0,0,439,10
MNE,2020,3,1982070,24470,10224,157
MNE,2020,4,2251240,0,37475,513
MNE,2021,1,2202300,0,42971,592
MNE,2021,2,21909766,414644,9034,339
MNE,2021,3,40398488,0,31247,310
MNE,2021,4,40398488,0,38535,489
MNE,2022,1,39520260,0,63068,291
MNE,2022,2,5708482,0,732,6
MNG,2020,1,0,0,12,0
MNG,2020,2,0,0,208,0
MNG,2020,3,0,0,93,0
MNG,2020,4,0,0,882,1
MNG,2021,1,0,0,7252,7
MNG,2021,2,0,0,107031,555
MNG,2021,3,0,0,267019,714
MNG,2021,4,0,0,310124,782
MNG,2022,1,0,0,226246,118
MNG,2022,2,0,0,1137,0
MOZ,2020,1,304,19,8,0
MOZ,2020,2,749591,28567,881,6
MOZ,2020,3,7157875,108097,7839,55
MOZ,2020,4,19050909,129056,9914,105
MOZ,2021,1,33535552,213610,48937,643
MOZ,2021,2,48717669,109121,8841,103
MOZ,2021,3,71516541,315630,74319,1039
MOZ,2021,4,88929731,171926,38357,89
MOZ,2022,1,110773551,219808,36176,194
MOZ,2022,2,16896496,7737,45,0
MRT,2020,1,0,0,6,1
MRT,2020,2,677958,39398,4357,128
MRT,2020,3,5917461,40006,3139,32
MRT,2020,4,9197061,57814,6862,186
MRT,2021,1,17743845,110654,3483,102
MRT,2021,2,27242084,101901,2961,40
MRT,2021,3,41603700,201281,15222,286
MRT,2021,4,57435312,154855,5443,91
MRT,2022,1,76019085,211420,17196,116
MRT,2022,2,11934213,2943,41,0
MUS,2020,1,0,0,125,3
MUS,2020,2,3961166,171792,216,7
MUS,2020,3,19379991,74534,40,0
MUS,2020,4,25687390,55019,146,0
MUS,2021,1,27121050,0,436,0
MUS,2021,2,32295445,57330,935,8
MUS,2021,3,33026660,952,13797,66
MUS,2021,4,33085684,0,52927,702
MUS,2022,1,32366430,0,141863,182
MUS,2022,2,4675151,0,4517,17
MWI,2020,1,0,0,0,0
MWI,2020,2,315750,13369,1224,14
MWI,2020,3,3316353,39688,4549,165
MWI,2020,4,5879566,30850,810,10
MWI,2021,1,13682714,134125,26968,928
MWI,2021,2,21809002,46116,2575,79
MWI,2021,3,32427061,144443,25454,1086
MWI,2021,4,40131449,73912,13495,82
MWI,2022,1,47974625,78830,10565,262
MWI,2022,2,7336560,5210,67,2
MYS,2020,1,368851,40483,2766,48
MYS,2020,2,19976886,256859,5873,73
MYS,2020,3,91165282,1010112,2585,15
MYS,2020,4,178555571,1093589,101786,335
MYS,2021,1,216093870,0,232490,801
MYS,2021,2,931153707,11121517,406479,3898
MYS,2021,3,1244075520,0,1493716,21165
MYS,2021,4,1244075520,0,512391,5152
MYS,2022,1,1217030400,0,1443833,3496
MYS,2022,2,175793280,0,140640,358
NAM,2020,1,360,24,11,0
NAM,2020,2,240025,8682,194,0
NAM,2020,3,4201801,89246,11060,121
NAM,2020,4,13250218,101196,12676,84
NAM,2021,1,24943613,146603,20198,318
NAM,2021,2,37924649,168232,45778,998
NAM,2021,3,57841222,189351,37672,1990
NAM,2021,4,71169197,161590,20385,123
NAM,2022,1,84054412,117321,9672,386
NAM,2022,2,12834631,8894,257,2
NCL,2020,1,440,40,0,0
NCL,2020,2,307084,8489,0,0
NCL,2020,3,1062415,5998,0,0
NCL,2020,4,1535839,4157,0,0
NCL,2021,1,2005614,9341,0,0
NCL,2021,2,2886188,7013,0,0
NCL,2021,3,3681939,7353,0,0
NCL,2021,4,3933552,0,0,0
NCL,2022,1,3848040,0,0,0
NCL,2022,2,555828,0,0,0
NER,2020,1,0,0,27,3
NER,2020,2,235150,6555,1048,64
NER,2020,3,1013543,10027,126,2
NER,2020,4,3836593,43609,2126,35
NER,2021,1,6807229,28573,1678,82
NER,2021,2,9389941,28104,488,7
NER,2021,3,12534205,39439,519,8
NER,2021,4,16565170,47143,1397,74
NER,2022,1,20021268,36944,1396,33
NER,2022,2,3153512,4443,45,0
NGA,2020,1,6666,846,135,2
NGA,2020,2,4086445,129318,25559,588
NGA,2020,3,30491515,379391,33154,522
NGA,2020,4,64915939,394245,28759,178
NGA,2021,1,122596804,863894,75284,768
NGA,2021,2,183228528,498897,4727,63
