unit,yr,quarter,cum_tests_orig,new_tests_orig,new_cases_orig,new_deaths_orig
BEL,2020,3,174611076,2202219,57025,386
BEL,2020,4,479445434,3226995,528044,9512
BEL,2021,1,793035395,7860768,235957,3488
BEL,2021,2,1203075255,4116580,202678,2157
BEL,2021,3,1638983858,4791114,159823,429
BEL,2021,4,2143180322,7209216,860389,2729
BEL,2022,1,2754284816,5519631,1745705,2495
BEL,2022,2,429413336,500067,92783,253
BEN,2020,1,0,0,9,0
BEN,2020,2,821615,20014,1399,21
BEN,2020,3,6616634,137945,1158,20
BEN,2020,4,25001376,221801,894,3
BEN,2021,1,41036900,205000,3849,46
BEN,2021,2,57004070,55826,1099,14
BEN,2021,3,58933912,0,15691,55
BEN,2021,4,58933912,0,1045,2
BEN,2022,1,55258524,-36276,2017,2
BEN,2022,2,7856030,0,0,0
BFA,2020,1,377,99,261,14
BFA,2020,2,303021,8941,701,39
BFA,2020,3,2348499,38584,1094,5
BFA,2020,4,6184658,46770,4651,27
BFA,2021,1,12402589,76114,6010,61
BFA,2021,2,17011381,30641,762,22
BFA,2021,3,20466074,45868,764,16
BFA,2021,4,24569863,52435,3389,134
BFA,2022,1,28261911,25321,3221,64
BFA,2022,2,4222049,0,12,1
BGD,2020,1,11288,1602,51,5
BGD,2020,2,22096549,767858,145432,1842
BGD,2020,3,124955513,1178195,217996,3404
BGD,2020,4,234110718,1057857,150031,2308
BGD,2021,1,346995137,1665064,97785,1487
BGD,2021,2,514652835,1938351,301963,5457
BGD,2021,3,761949924,2918223,642653,13007
BGD,2021,4,958646657,1902084,29628,562
BGD,2022,1,1148395384,2394773,366038,1050
BGD,2022,2,180246244,76267,554,2
BGR,2020,1,2320,145,399,8
BGR,2020,2,5172448,95675,4590,222
BGR,2020,3,30455741,428529,15844,595
BGR,2020,4,77463615,606280,181433,6751
BGR,2021,1,139560780,967797,140367,5621
BGR,2021,2,242473819,1080894,79196,4864
BGR,2021,3,361469034,1606924,80333,2821
BGR,2021,4,558167896,2633152,244946,10073
BGR,2022,1,705828743,2169499,391815,5574
BGR,2022,2,125571842,126444,8242,211
BHR,2020,1,485162,33852,567,4
BHR,2020,2,22213140,511273,26191,83
BHR,2020,3,89450777,884307,44106,164
